run_id,measurement_type,source,task,dataset,split,model,variant,recipe,checkpoint,teacher,training_stage,n_src,stems,sample_rate,n_fft,hop_length,chunk_frames,streaming_mode,mixture_consistency,silence_policy,params,gmac_per_s,state_fp16_kib,state_fp32_kib,onnx_nodes,onnx_forbidden_ops,onnx_risk_flags,mlir_ops,one_import,one_optimize,one_quantize,circle_verify,musdb_csdr_avg,musdb_usdr_avg,dnr_snr_avg,dnr_si_sdr_avg,sdr_avg,si_sdr_avg,latency_ms,rtf,streaming_offline_max_diff,listening_sheet,notes
local_sfc_sepreformer_multistem_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,SFC-SepReformer-MultiStem,rt192k_fp512keep475,recipes/dnr/models/sfc-sepreformer-multistem.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or soft-band query SFC,student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,2449230,,112,224,435,none,activation_matmul_rank_le3=5;transpose=23,,PASS,PASS,PASS,PASS,,,,,,,,,,,Early source split ablation;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260601_capacity_sepreformer;trained metrics pending
local_prompted_asymmetric_sfc_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,Prompted-Asymmetric-SFC,rt192k_fp512keep475,recipes/dnr/models/prompted-asymmetric-sfc.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or soft-band query SFC,unified_student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,2456888,,96,192,456,none,activation_matmul_rank_le3=5;transpose=23,,PASS,PASS,PASS,PASS,,,,,,,,,,,Fixed DnR prompts speech/music/effects with shared prompt-conditioned decoder;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260601_capacity_prompted_sfc;trained metrics pending
local_sfc_sepreformer_multistem_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,SFC-SepReformer-MultiStem,rt192k_fp512keep475,recipes/musdb18hq/models/sfc-sepreformer-multistem.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or soft-band query SFC,student,4,"vocals,drums,bass,other",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Fixed-stem source split ablation; run after DnR probe
local_sfc_residual_refinement_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,SFC-Residual-Refinement,rt192k_fp512keep475,recipes/dnr/models/sfc-residual-refinement.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or BandSFCNet-RT+,student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,2451392,,144,288,282,none,activation_matmul_rank_le3=4;transpose=17,,PASS,PASS,PASS,PASS,,,,,,,,,,,Mamba2-lite residual refinement ablation; compare against BandSFC RT+;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260601_capacity_residual_refinement;trained metrics pending
local_sfc_residual_refinement_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,SFC-Residual-Refinement,rt192k_fp512keep475,recipes/musdb18hq/models/sfc-residual-refinement.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or BandSFCNet-RT+,student,4,"vocals,drums,bass,other",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Music residual refinement ablation; run after DnR probe
local_bandmap_fixed80_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,OnlineSoftBandQuerySFC2D,fixed80_rt192k_fp512keep475,recipes/dnr/models/bandmap-ablation.fixed80.rt192k.fp512keep475/config.yaml,,soft-band query SFC,student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,208,none,activation_matmul_rank_le3=3;transpose=11,,PASS,PASS,PASS,PASS,,,,,,,,,,,Band-map ablation: fixed linear 80 bands;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260530_*.
local_bandmap_mel_overlap80_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,Adaptive-Mel-SFC,mel_overlap80_rt192k_fp512keep475,recipes/dnr/models/bandmap-ablation.mel-overlap80.rt192k.fp512keep475/config.yaml,,soft-band query SFC,student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,2456272,,90,180,268,none,activation_matmul_rank_le3=3;transpose=11,,PASS,PASS,PASS,PASS,,,,,,,,,,,Band-map ablation: explicit overlapped mel 80 bands;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260601_capacity_mel_overlap80;trained metrics pending
local_adaptive_mel_locoformer_lite_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,Adaptive-Mel-SFC-Locoformer-Lite,rt192k_fp512keep475,recipes/dnr/models/adaptive-mel-locoformer-lite-sfc.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or soft-band query SFC,student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,2497376,,120,240,316,none,activation_matmul_rank_le3=3;transpose=11,,PASS,PASS,PASS,PASS,,,,,,,,,,,Deployable Proposal-A adaptive-mel student;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260601_capacity_adaptive_mel_loco;trained metrics pending
local_bandmap_sfc_ca80_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,SFC-Locoformer,SFC-CA80,recipes/dnr/models/bandmap-ablation.sfc-ca80.teacher/config.yaml,,SFC-Locoformer-Lite+,teacher,3,"speech,music,effects",44100,2048,512,,offline,,,,,,,,,,,,,,,,,,,,,,,,,Teacher comparison for band-map ablation
local_bandmap_fixed80_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,OnlineSoftBandQuerySFC2D,fixed80_rt192k_fp512keep475,recipes/musdb18hq/models/bandmap-ablation.fixed80.rt192k.fp512keep475/config.yaml,,soft-band query SFC,student,4,"vocals,drums,bass,other",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Band-map ablation: fixed linear 80 bands
local_bandmap_mel_overlap80_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,Adaptive-Mel-SFC,mel_overlap80_rt192k_fp512keep475,recipes/musdb18hq/models/bandmap-ablation.mel-overlap80.rt192k.fp512keep475/config.yaml,,soft-band query SFC,student,4,"vocals,drums,bass,other",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Band-map ablation: explicit overlapped mel 80 bands
local_bandmap_sfc_ca80_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,SFC-Locoformer,SFC-CA80,recipes/musdb18hq/models/bandmap-ablation.sfc-ca80.teacher/config.yaml,,SFC-Locoformer-Lite+,teacher,4,"vocals,drums,bass,other",44100,2048,512,,offline,,,,,,,,,,,,,,,,,,,,,,,,,Teacher comparison for band-map ablation
local_bandmap_sfc_mamba64_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,SFC-Locoformer,SFC-Mamba64,recipes/musdb18hq/models/bandmap-ablation.sfc-mamba64.teacher/config.yaml,,SFC-Mamba,teacher,4,"vocals,drums,bass,other",44100,2048,512,,offline,,,,,,,,,,,,,,,,,,,,,,,,,Non-strict optional Mamba teacher comparison; requires mamba_ssm
